Index;Date;Time;Cardio1;Saturation1;Cardio2;Saturation2;Cardio3;Saturation3;Acceleration g;Acceleration a
205;5/1/2023;6:0:20;0.00;0;0.00;0;0.00;0;3.66;1.84
206;5/1/2023;6:0:0;0.00;0;0.00;0;0.00;0;3.66;1.84
207;5/1/2023;6:0:0;0.00;0;0.00;0;0.00;0;3.66;1.84
208;5/1/2023;6:0:4;0.00;0;0.00;0;0.00;0;3.66;1.84
209;5/1/2023;6:0:4;0.00;0;0.00;0;0.00;0;3.66;1.84
210;5/1/2023;6:0:0;0.00;0;0.00;0;0.00;0;3.66;1.84
211;5/1/2023;6:0:0;0.00;0;0.00;0;0.00;0;3.66;1.84
212;5/1/2023;6:0:0;0.00;0;0.00;0;0.00;0;3.66;1.84
213;5/1/2023;6:0:4;0.00;0;0.00;0;0.00;0;3.66;1.84
214;5/1/2023;6:0:4;0.00;0;0.00;0;0.00;0;3.66;1.84
215;5/1/2023;6:0:0;0.00;0;0.00;0;0.00;0;3.66;1.84
216;5/1/2023;6:0:0;0.00;0;0.00;0;0.00;0;3.66;1.84
217;5/1/2023;6:0:1;0.00;0;0.00;0;0.00;0;3.66;1.84
218;5/1/2023;6:0:5;0.00;0;0.00;0;0.00;0;3.66;1.84
219;5/1/2023;6:0:5;0.00;0;0.00;0;0.00;0;3.66;1.84
220;5/1/2023;6:0:1;0.00;0;0.00;0;0.00;0;3.66;1.84
221;5/1/2023;6:0:1;0.00;0;0.00;0;0.00;0;3.66;1.84
222;5/1/2023;6:0:1;0.00;0;0.00;0;0.00;0;3.66;1.84
223;5/1/2023;6:0:5;0.00;0;0.00;0;0.00;0;3.66;1.84
224;5/1/2023;6:0:5;0.00;0;0.00;0;0.00;0;3.66;1.84
225;5/1/2023;6:0:1;0.00;0;0.00;0;0.00;0;3.66;1.84
226;5/1/2023;6:0:21;0.00;0;0.00;0;0.00;0;3.66;1.84
227;5/1/2023;6:0:21;0.00;0;0.00;0;0.00;0;3.66;1.84
228;5/1/2023;6:0:25;0.00;0;0.00;0;0.00;0;3.66;1.84
229;5/1/2023;6:0:25;0.00;0;0.00;0;0.00;0;3.66;1.84
230;5/1/2023;6:0:21;0.00;0;0.00;0;0.00;0;3.66;1.84
231;5/1/2023;6:0:21;0.00;0;0.00;0;0.00;0;3.66;1.84
232;5/1/2023;6:0:21;0.00;0;0.00;0;0.00;0;3.66;1.84
233;5/1/2023;6:0:25;0.00;0;0.00;0;0.00;0;3.66;1.84
234;5/1/2023;6:0:25;0.00;0;0.00;0;0.00;0;3.66;1.84
235;5/1/2023;6:0:21;0.00;0;0.00;0;0.00;0;3.66;1.84
236;5/1/2023;6:0:1;0.00;0;0.00;0;0.00;0;3.66;1.84
237;5/1/2023;6:0:1;0.00;0;0.00;0;0.00;0;3.66;1.84
238;5/1/2023;6:0:5;0.00;0;0.00;0;0.00;0;3.66;1.84
239;5/1/2023;6:0:5;0.00;0;0.00;0;0.00;0;3.66;1.84
240;5/1/2023;6:0:1;0.00;0;0.00;0;0.00;0;3.66;1.84
241;5/1/2023;6:0:1;0.00;0;0.00;0;0.00;0;3.66;1.83
242;5/1/2023;6:0:1;0.00;0;0.00;0;0.00;0;3.66;1.84
243;5/1/2023;6:0:5;0.00;0;0.00;0;0.00;0;3.66;1.84
244;5/1/2023;6:0:5;0.00;0;0.00;0;0.00;0;3.66;1.85
245;5/1/2023;6:0:1;0.00;0;0.00;0;0.00;0;3.66;1.84
246;5/1/2023;6:0:1;0.00;0;0.00;0;0.00;0;3.66;1.84
247;5/1/2023;6:0:1;0.00;0;0.00;0;0.00;0;3.66;1.84
248;5/1/2023;6:0:5;0.00;0;0.00;0;0.00;0;3.66;1.84
249;5/1/2023;6:0:5;0.00;0;0.00;0;0.00;0;3.66;1.84
250;5/1/2023;6:0:1;0.00;0;0.00;0;0.00;0;3.68;1.84
251;5/1/2023;6:0:1;0.00;0;0.00;0;0.00;0;3.66;1.85
252;5/1/2023;6:0:1;0.00;0;0.00;0;0.00;0;3.66;1.85
253;5/1/2023;6:0:5;0.00;0;0.00;0;0.00;0;3.66;1.85
254;5/1/2023;6:0:5;0.00;0;0.00;0;0.00;0;3.66;1.85
255;5/1/2023;6:0:1;0.00;0;0.00;0;0.00;0;3.66;1.84
256;5/1/2023;6:0:21;0.00;0;0.00;0;0.00;0;3.67;1.85
257;5/1/2023;6:0:21;0.00;0;0.00;0;0.00;0;3.67;1.85
