Index;Date;Time;Temperature(°C);Cardio(BPM);Saturation(%SpO2);Audio(%max);Rotation(rad/s);Acceleration(m/s2)
279;07/03/2023;13:32:36;29.09;0.00;0;99.00;0.07;10.09
280;07/03/2023;13:32:38;29.09;0.00;0;99.00;0.07;10.09
281;07/03/2023;13:32:40;29.10;0.00;0;99.00;0.06;10.09
282;07/03/2023;13:32:42;29.11;0.00;0;99.00;0.07;10.07
283;07/03/2023;13:32:44;29.10;0.00;0;99.00;0.07;10.08
284;07/03/2023;13:32:46;29.10;0.00;0;99.00;0.07;10.06
285;07/03/2023;13:32:48;29.11;0.00;0;99.00;0.06;10.09
286;07/03/2023;13:32:50;29.12;0.00;0;99.00;0.07;10.07
287;07/03/2023;13:32:52;29.11;0.00;0;99.00;0.06;10.07
288;07/03/2023;13:32:54;29.10;0.00;0;99.00;0.07;10.06
289;07/03/2023;13:32:56;29.11;0.00;0;99.00;0.07;10.08
290;07/03/2023;13:32:58;29.12;0.00;0;99.00;0.07;10.08
291;07/03/2023;13:33:00;29.13;0.00;0;99.00;0.06;10.07
292;07/03/2023;13:33:02;29.11;0.00;0;99.00;0.07;10.06
293;07/03/2023;13:33:04;29.12;0.00;0;99.00;0.07;10.06
294;07/03/2023;13:33:06;29.12;0.00;0;99.00;0.07;10.08
295;07/03/2023;13:33:08;29.12;0.00;0;99.00;0.07;10.09
296;07/03/2023;13:33:10;29.12;0.00;0;99.00;0.06;10.08
297;07/03/2023;13:33:12;29.13;0.00;0;99.00;0.06;10.07
298;07/03/2023;13:33:14;29.14;0.00;0;99.00;0.06;10.07
299;07/03/2023;13:33:16;29.14;0.00;0;99.00;0.07;10.08
300;07/03/2023;13:33:19;29.15;0.00;0;99.00;0.07;10.06
301;07/03/2023;13:33:21;29.14;0.00;0;99.00;0.07;10.07
302;07/03/2023;13:33:23;29.12;0.00;0;99.00;0.07;10.09
303;07/03/2023;13:33:25;29.14;0.00;0;99.00;0.06;10.06
304;07/03/2023;13:33:27;29.14;0.00;0;99.00;0.06;10.07
305;07/03/2023;13:33:29;29.15;0.00;0;99.00;0.07;10.09
306;07/03/2023;13:33:31;29.14;0.00;0;99.00;0.07;10.08
307;07/03/2023;13:33:33;29.17;0.00;0;99.00;0.06;10.06
308;07/03/2023;13:33:35;29.14;0.00;0;99.00;0.07;10.09
309;07/03/2023;13:33:37;29.15;0.00;0;99.00;0.07;10.05
310;07/03/2023;13:33:39;29.15;0.00;0;99.00;0.06;10.07
311;07/03/2023;13:33:41;29.15;0.00;0;99.00;0.07;10.06
312;07/03/2023;13:33:43;29.15;0.00;0;99.00;0.06;10.09
313;07/03/2023;13:33:45;29.14;0.00;0;99.00;0.07;10.08
314;07/03/2023;13:33:47;29.15;0.00;0;99.00;0.07;10.08
315;07/03/2023;13:33:49;29.16;0.00;0;99.00;0.07;10.07
316;07/03/2023;13:33:51;29.17;0.00;0;99.00;0.07;10.09
317;07/03/2023;13:33:53;29.16;0.00;0;99.00;0.07;10.06
318;07/03/2023;13:33:55;29.17;0.00;0;99.00;0.07;10.07
319;07/03/2023;13:33:57;29.18;0.00;0;99.00;0.07;10.08
320;07/03/2023;13:33:59;29.18;0.00;0;99.00;0.06;10.07
321;07/03/2023;13:34:01;29.18;0.00;0;99.00;0.06;10.07
322;07/03/2023;13:34:03;29.16;0.00;0;99.00;0.06;10.09
323;07/03/2023;13:34:05;29.18;0.00;0;99.00;0.07;10.08
